incident_id,number,user_id,cohort_month,months_since_onboard,opened_at,resolved_at,priority,state,category,assignment_group,location,resolution_hrs,sla_breached,reopen_count
INC8731061,INC0303406,USER0059,2023-08,15,2024-11-27 11:49:22,N/A,,Resolved,Hardware,Security Ops,Bangalore,19.51,yes,
INC8203122,INC0300386,USER0127,2024-04,0,20/10/2023 22:29,21/10/2023 12:11,high,resolved,Software,Service Desk,,13.7,,0
INC6387742,INC0303381,USER0285,2023-01,22,2024/11/05 17:30,,1 - Critical,On Hold,,Application Support,Mumbai,,no,0
INC6992269,INC0301244,USER0034,2023-03,18,09-28-2024,2024-09-29 02:38:39,3 - Moderate,CLOSED,Security,Infrastructure,Mumbai,,No,2
INC4017824,INC0305247,USER0039,2024-06,0,14/12/2023 16:56,2023-12-15 12:53:38,P1,Closed,Access,Database Admin,Delhi,19.95,yes,
INC6983281,INC0300257,USER0101,2023-08,16,2024-12-16,,P2,in progress,Software,Application Support,,,No,
INC5391170,INC0302116,USER0186,2024-05,7,2024-12-14 12:09:07,,1 - Critical,In Progress,,Application Support,,,Yes,0
INC6124877,INC0302391,USER0298,2023-12,4,2024-04-25 00:16:47,2024-04-25 07:19:08,critical,resolved,,Security Ops,,7.04,yes,
INC8171639,INC0301904,USER0139,2023-06,0,2023-04-21,,high,,Network,Application Support,Bangalore,,YES,0
INC5056924,INC0300398,USER0151,2023-03,14,2024-05-11 01:37:27,,,New,,Service Desk,Bangalore,,,1
INC7391147,INC0304320,USER0135,2024-05,4,07/09/2024 01:51,,LOW,in progress,Network,Infrastructure,Mumbai,,No,0
INC4873447,INC0300102,USER0022,2023-06,11,2024-05-12,,P1,in progress,Database,Database Admin,Hyderabad,,,2
INC6095367,INC0300506,USER0291,2023-01,11,2023-12-18 21:34:20,,LOW,New,Access,Service Desk,Bangalore,,,0
INC9700100,INC0305374,USER0230,2024-01,6,2024-07-01 04:37:50,,P1,,Security,Security Ops,Mumbai,,Yes,0
INC3371806,INC0304698,USER0217,2024-05,0,2024-01-10 03:32:37,,LOW,,Network,Security Ops,Chennai,,yes,2
INC4446416,INC0303414,USER0180,2023-04,11,2024-03-12 18:51:18,12/03/2024 23:47,LOW,Resolved,Access,Database Admin,Remote,4.94,No,0
INC6710660,INC0305104,USER0252,2024-05,1,2024-06-30 03:55:26,,,in progress,,Database Admin,Hyderabad,,Yes,2
INC8704255,INC0301182,USER0172,2023-05,17,2024-10-31 12:46:03,2024-10-31 21:40:37,,Closed,Access,Application Support,Chennai,8.91,no,0
INC8349323,INC0303091,USER0077,2024-04,0,11/12/2023 04:52,,high,New,Hardware,Application Support,Delhi,,No,0
INC9785242,INC0300575,USER0211,2024-06,1,2024-07-25 10:14:36,,critical,,Hardware,Database Admin,Chennai,,Yes,1
INC7574308,INC0302789,USER0056,2023-02,13,2024-03-27,,high,In Progress,Network,Service Desk,Remote,,No,1
INC7203746,INC0301647,USER0042,2023-07,17,2024/12/01 05:48,NULL,P2,CLOSED,Software,Application Support,Chennai,,yes,0
INC8287835,INC0300394,USER0262,2023-10,0,2023-08-15 22:33:39,,high,new,Access,Security Ops,,,Yes,0
INC8611254,INC0303909,USER0189,2023-10,0,2023-04-02 17:32:42,,P3,,,Security Ops,Hyderabad,,yes,
INC9714831,INC0301788,USER0257,2023-08,15,11-11-2024,2024-11-13 12:57:59,LOW,Closed,Security,Infrastructure,Mumbai,37.16,yes,0
